paper	sample_alias	numPeaks
Atianand	GSM2080025	62142
Atianand	GSM2080026	64384
Atianand	GSM2080027	76871
Atianand	GSM2080028	67379
Mostafavi	GSM1947914	27115
Mostafavi	GSM1947915	25564
Mostafavi	GSM1947916	25747
Mostafavi	GSM1947917	27868
Dieuleveult	GSM1941479	19247
Dieuleveult	GSM1941480	16730
Dieuleveult	GSM1941481	17292
Dieuleveult	GSM1941482	22977
Dieuleveult	GSM1941483	14344
Dieuleveult	GSM1941484	49687
Dieuleveult	GSM1941485	7756
Dieuleveult	GSM1941486	8611
Dieuleveult	GSM1941487	14027
Dieuleveult	GSM1941488	11018
Hay	GSM2077297	17588
Hay	GSM2077298	20568
Hay	GSM2077299	21626
Hay	GSM2077300	23834
Hay	GSM2077301	28983
Hay	GSM2077302	26073
Hay	GSM2077303	20143
Hay	GSM2077304	26900
Hay	GSM2077305	21027
Hay	GSM2077306	24922
Hay	GSM2077307	33261
Hay	GSM2077308	35558
Hay	GSM2077309	23253
Hay	GSM2077310	21484
Hay	GSM2077311	18791
Hay	GSM2077312	19931
Hay	GSM2077313	26212
Hay	GSM2077314	30535
Hay	GSM2077315	24094
Jiang	GSM2123182	12410
Jiang	GSM2123183	4117
Jiang	GSM2123184	15952
Jiang	GSM2123185	15539
Jiang	GSM2123186	19905
Jiang	GSM2123187	20755
Jiang	GSM2123188	13379
Jiang	GSM2123189	21984
Denny	GSM2147562	110192
Denny	GSM2147563	109190
Denny	GSM2147564	26950
Denny	GSM2147565	24014
Denny	GSM2147566	38678
Denny	GSM2147567	36263
Denny	GSM2147568	37714
Denny	GSM2147569	62867
Denny	GSM2147570	69729
Denny	GSM2147571	39270
Denny	GSM2147572	19044
Denny	GSM2147573	33287
Denny	GSM2147574	38749
Denny	GSM2147575	36853
Denny	GSM2147576	36065
Denny	GSM2147577	61820
Denny	GSM2147578	51641
Denny	GSM2147579	48055
Denny	GSM2147580	37809
Denny	GSM2147581	35360
Denny	GSM2147582	25946
Denny	GSM2147583	21720
Denny	GSM2147584	34717
Denny	GSM2147585	32139
Denny	GSM2147586	26648
Denny	GSM2147587	13683
Denny	GSM2147588	22491
Denny	GSM2147589	35755
Denny	GSM2147590	52299
Denny	GSM2147591	37201
Denny	GSM2147592	25188
Denny	GSM2147593	29398
Denny	GSM2147594	22542
Denny	GSM2147595	20223
Denny	GSM2147596	18094
Denny	GSM2147597	26254
Denny	GSM2147598	17978
Denny	GSM2147599	20926
Denny	GSM2147600	15276
Denny	GSM2147601	21339
Denny	GSM2147602	27979
Denny	GSM2147603	34396
Denny	GSM2147604	33496
Denny	GSM2147605	3962
Denny	GSM2147606	4768
Denny	GSM2147607	5695
Denny	GSM2147608	7436
Denny	GSM2147609	8181
Denny	GSM2147610	4522
Denny	GSM2147611	9488
Denny	GSM2147612	12494
Denny	GSM2147613	25271
Denny	GSM2147614	16808
Denny	GSM2147615	35420
Denny	GSM2147616	28042
Denny	GSM2147617	13929
Denny	GSM2147618	11812
Denny	GSM2147619	7291
Denny	GSM2147620	14877
Tong	GSM1913599	32115
Tong	GSM1913600	39585
Tong	GSM1913601	23339
Tong	GSM1913602	10512
Tong	GSM1913603	60809
Tong	GSM1913604	28474
Tong	GSM1913605	79383
Tong	GSM1913606	23201
